favorite,underdog,spread,outcome,fave.name,underdog.name,week
20,31,3.5,-11,KC,SD,6
23,13,9.5,10,LAA,NO,6
10,26,3.5,-16,SF,CHI,6
7,23,3.5,-16,MIA,NYJ,6
17,3,2.5,14,NYG,WAS,7
14,16,4,-2,DAL,PHA,7
21,23,10,-2,SF,DET,7
21,17,3.5,4,MIN,SD,7
24,31,1.5,-7,NO,ATL,7
0,16,1,-16,KC,LAN,7
21,20,2.5,1,LAA,CLE,7
23,10,4,13,PIT,PHX,7
21,9,0,12,BUF,IND,7
27,44,4,-17,CIN,HOU,7
41,38,13.5,3,MIA,TB,7
13,10,3.5,3,DEN,SEA,7
13,20,2,-7,NYJ,NE,7
23,7,9.5,16,CHI,GB,7
21,17,9,4,PHA,BUF,8
10,20,6.5,-10,PHX,HOU,8
24,10,13,14,DAL,ATL,8
32,14,2.5,18,NE,TB,8
21,31,6,-10,MIA,DET,8
27,9,8,18,CHI,MIN,8
17,14,3,3,NYJ,SEA,8
10,37,2,-27,GB,IND,8
7,14,2.5,-7,CLE,WAS,8
30,10,1,20,DEN,KC,8
28,14,0,14,SF,LAN,8
21,26,1.5,-5,PIT,CIN,8
21,13,3.5,8,NYG,NO,8
34,21,6,13,LAA,SD,8
23,17,3.5,6,CIN,BUF,9
22,20,12,2,NYG,TB,9
16,10,8.5,6,CHI,GB,9
13,17,1,-4,MIA,NE,9
44,10,6,34,WAS,ATL,9
16,13,3.5,3,MIN,DET,9
23,20,1,3,HOU,KC,9
10,9,4,1,PIT,CLE,9
10,30,2,-20,DEN,SD,9
33,3,1,30,SEA,LAA,9
28,10,7.5,18,LAN,NO,9
35,17,3.5,18,NYJ,IND,9
24,13,10,11,SF,PHA,9
10,21,4,-11,DAL,PHX,9
28,36,2,-8,KC,PIT,10
27,3,6,24,SEA,NO,10
17,27,5.5,-10,MIN,GB,10
0,20,2.5,-20,HOU,BUF,10
24,19,5,5,NYG,LAN,10
27,10,3,17,CIN,CLE,10
0,16,2.5,-16,PHX,TB,10
24,3,11,21,CHI,DET,10
34,15,9.5,19,NE,IND,10
23,17,9,6,PHA,ATL,10
7,13,2.5,-6,WAS,DAL,10
34,40,2.5,-6,LAA,SD,10
21,17,3.5,4,MIA,NYJ,10
16,17,3,-1,SF,DEN,10
38,14,8,24,GB,NO,11
17,7,8,10,CLE,BUF,11
44,0,0,44,CHI,DAL,11
14,24,2.5,-10,PHX,PHA,11
30,7,3,23,PIT,HOU,11
62,28,10,34,NYJ,TB,11
34,20,8,14,MIA,IND,11
14,30,6,-16,LAN,ATL,11
13,6,6,7,LAA,CIN,11
31,3,12,28,SF,KC,11
13,20,3.5,-7,SEA,NE,11
30,24,5,6,DEN,SD,11
41,21,3.5,20,DET,MIN,11
23,21,1,2,WAS,NYG,11
23,30,5,-7,PIT,WAS,12
23,14,8.5,9,MIA,BUF,12
16,19,1,-3,DET,TB,12
24,6,3,18,CLE,CIN,12
16,13,3.5,3,NYJ,NE,12
36,0,16,36,CHI,ATL,12
23,30,7,-7,MIN,NO,12
35,37,5,-2,SD,HOU,12
20,7,4,13,KC,IND,12
34,17,5.5,17,LAN,GB,12
34,17,6.5,17,DAL,PHA,12
31,28,4.5,3,LAA,DEN,12
34,3,4,31,NYG,PHX,12
19,6,6.5,13,SF,SEA,12
20,31,3,-11,NYJ,DET,13
35,17,14,18,DAL,PHX,13
33,35,6,-2,NYG,CLE,13
23,28,6.5,-5,PHA,MIN,13
23,31,1.5,-8,PIT,DEN,13
45,27,7.5,18,CIN,HOU,13
38,31,6.5,7,NE,IND,13
3,29,5.5,-26,LAN,NO,13
21,0,6.5,21,GB,TB,13
40,7,10,33,SD,BUF,13
35,8,4,27,SF,WAS,13
24,6,8,18,SEA,KC,13
34,24,7,10,LAA,ATL,13
24,38,3.5,-14,CHI,MIA,13
17,10,18,7,CHI,IND,14
17,12,1,5,WAS,PHA,14
23,6,8,17,NE,DET,14
38,10,3.5,28,KC,ATL,14
34,24,4.5,10,MIA,GB,14
28,16,3,12,PHX,NO,14
27,7,9,20,NYJ,BUF,14
24,50,2.5,-26,DAL,CIN,14
14,17,2.5,-3,DEN,LAA,14
35,14,7,21,NYG,HOU,14
31,13,4.5,18,SEA,CLE,14
26,7,6,19,MIN,TB,14
54,44,4,10,SD,PIT,14
20,27,10,-7,SF,LAN,14
19,6,2.5,13,CHI,NYJ,15
14,13,10.5,1,DEN,KC,15
27,24,1.5,3,WAS,CIN,15
13,14,1,-1,MIN,ATL,15
30,24,10,6,PIT,BUF,15
28,21,3,7,DAL,NYG,15
23,31,3.5,-8,TB,IND,15
31,19,9.5,12,SF,NO,15
28,21,9.5,7,CLE,HOU,15
23,26,4.5,-3,DET,GB,15
46,14,9,32,LAN,PHX,15
13,3,4.5,10,LAA,SEA,15
20,14,7,6,SD,PHA,15
30,27,6,3,MIA,NE,15
27,24,1,3,DEN,SEA,16
28,10,8.5,18,NYG,PIT,16
27,16,7,11,WAS,PHX,16
37,10,7,27,NYJ,CLE,16
35,37,2.5,-2,MIN,PHA,16
37,17,7,20,CHI,DET,16
34,23,6,11,NE,CIN,16
28,0,18,28,MIA,BUF,16
10,16,6,-6,NO,ATL,16
38,34,1,4,KC,SD,16
20,17,3,3,GB,TB,16
34,16,5,18,IND,HOU,16
31,16,9,15,SF,DAL,16
16,6,2,10,LAA,LAN,16
28,24,6,4,NYJ,BUF,1
41,14,6,27,WAS,PHA,1
41,31,10,10,CHI,CLE,1
31,7,9,24,SF,TB,1
10,13,3.5,-3,MIN,DET,1
16,10,2.5,6,LAN,PHX,1
10,31,3.5,-21,NO,ATL,1
3,31,4,-28,GB,HOU,1
14,24,1,-10,CIN,KC,1
28,50,2,-22,MIA,SD,1
38,36,3,2,DEN,LAA,1
30,0,6,30,SEA,PIT,1
33,3,9.5,30,NE,IND,1
28,31,1,-3,NYG,DAL,1
6,20,2,-14,NYJ,NE,2
13,16,2,-3,SF,LAN,2
31,7,2,24,DAL,DET,2
10,6,2,4,WAS,LAA,2
36,33,6.5,3,CIN,BUF,2
24,10,2.5,14,NO,GB,2
20,7,3.5,13,NYG,SD,2
33,13,2.5,20,ATL,PHX,2
20,23,1.5,-3,HOU,CLE,2
13,10,16,3,CHI,PHA,2
23,17,5,6,SEA,KC,2
30,10,13.5,20,MIA,IND,2
23,10,2,13,MIN,TB,2
21,10,5.5,11,DEN,PIT,2
13,30,5,-17,CLE,CIN,3
33,7,3.5,26,DEN,PHA,3
31,7,5,24,MIN,PIT,3
24,7,7.5,17,LAN,IND,3
17,10,3,7,BUF,PHX,3
20,24,8,-4,DET,TB,3
35,37,9,-2,DAL,ATL,3
45,51,2.5,-6,MIA,NYJ,3
31,38,6,-7,NE,SEA,3
9,14,3.5,-5,LAA,NYG,3
26,17,10,9,SF,NO,3
27,30,3,-3,SD,WAS,3
27,13,3.5,14,KC,HOU,3
25,12,11,13,CHI,GB,3
16,31,3,-15,MIA,SF,4
20,34,5.5,-14,LAN,PHA,4
17,20,2,-3,BUF,KC,4
16,22,6,-6,HOU,PIT,4
19,14,4,5,WAS,SEA,4
20,17,11,3,NYG,NO,4
24,21,8.5,3,CLE,DET,4
42,7,6.5,35,MIN,GB,4
44,7,4.5,37,CHI,CIN,4
17,13,3,4,LAA,SD,4
26,7,9.5,19,NYJ,IND,4
27,20,3,7,DEN,NE,4
23,20,6,3,ATL,TB,4
31,7,6.5,24,DAL,PHX,4
35,14,17.5,21,SF,IND,5
0,16,6,-16,ATL,PHA,5
27,24,3,3,CLE,PIT,5
24,13,3,11,DET,HOU,5
34,7,6,27,NE,MIA,5
13,6,7.5,7,NYG,PHX,5
14,6,6.5,8,WAS,NO,5
34,28,7,6,CIN,GB,5
23,0,12.5,23,CHI,MIN,5
17,24,0,-7,KC,LAA,5
29,14,3.5,15,DEN,DAL,5
26,20,11,6,LAN,TB,5
14,13,8,1,NYJ,BUF,5
33,7,6,26,SEA,SD,5
24,27,9.5,-3,SF,MIN,6
14,26,1,-12,LAN,ATL,6
17,14,4,3,NO,IND,6
14,10,3.5,4,LAA,SEA,6
31,14,5,17,DEN,SD,6
20,7,4.5,13,CLE,KC,6
27,14,6.5,13,MIA,BUF,6
20,7,13.5,13,CHI,HOU,6
19,30,3,-11,TB,PHX,6
21,14,3,7,DET,GB,6
30,6,0,24,DAL,WAS,6
35,3,7,32,NYG,PHA,6
24,31,7,-7,NE,NYJ,6
24,22,7.5,2,CIN,PIT,6
10,10,3,0,SF,ATL,7
14,10,7,4,LAN,DET,7
38,7,5,31,NO,TB,7
7,23,9.5,-16,CHI,MIN,7
14,17,13,-3,CLE,GB,7
17,14,5,3,DAL,PHA,7
28,21,13,7,WAS,PHX,7
30,28,1,2,LAA,MIA,7
42,41,6,1,KC,SD,7
17,12,3,5,SEA,NYG,7
31,28,6.5,3,CIN,HOU,7
34,0,7,34,NE,PIT,7
24,13,10.5,11,BUF,IND,7
10,22,3.5,-12,DEN,NYJ,7
31,17,9.5,14,SF,GB,8
13,7,15,6,CHI,DET,8
20,23,3.5,-3,MIN,CLE,8
23,3,7.5,20,NE,BUF,8
9,30,4.5,-21,CIN,PIT,8
17,13,9.5,4,MIA,IND,8
27,20,9.5,7,KC,TB,8
28,23,9,5,NYJ,NO,8
28,17,6.5,11,LAA,HOU,8
23,7,4,16,PHA,SD,8
37,6,11,31,DAL,PHX,8
14,7,3.5,7,LAN,ATL,8
20,13,6,7,DEN,SEA,8
27,20,3.5,7,NYG,WAS,8
28,34,0,-6,BUF,TB,9
24,9,6.5,15,CLE,IND,9
17,14,3,3,NYG,DAL,9
10,13,2,-3,PHA,PHX,9
28,7,8,21,MIA,HOU,9
25,17,9,8,NE,ATL,9
27,3,5,24,PIT,GB,9
10,23,6,-13,SF,NO,9
17,24,3,-7,DET,CIN,9
23,24,1.5,-1,SD,KC,9
10,21,3.5,-11,LAA,DEN,9
44,38,7,6,WAS,MIN,9
7,38,4,-31,SEA,NYJ,9
17,20,9.5,-3,CHI,LAN,9
43,17,11,26,SF,PHX,10
16,7,9.5,9,WAS,GB,10
16,12,1,4,BUF,PIT,10
28,14,3,14,NYJ,ATL,10
23,3,10.5,20,CHI,TB,10
30,21,13,9,NE,IND,10
0,6,3,-6,LAN,NO,10
28,32,4,-4,CIN,HOU,10
27,7,1,20,KC,SEA,10
24,10,3,14,MIN,DET,10
17,14,3.5,3,NYG,PHA,10
3,9,14,-6,DEN,SD,10
13,17,3,-4,DAL,LAA,10
26,16,3,10,CLE,MIA,10
13,10,7,3,CHI,ATL,11
34,7,3,27,CIN,SEA,11
24,21,6.5,3,DAL,SD,11
38,17,8,21,DEN,KC,11
31,7,4,24,GB,TB,11
27,14,6.5,13,LAA,CLE,11
34,24,1.5,10,MIA,BUF,11
30,28,2.5,2,NE,LAN,11
16,7,3,9,NO,PHX,11
22,20,1.5,2,NYG,MIN,11
31,16,16,15,NYJ,IND,11
11,13,3.5,-2,PHA,DET,11
21,10,4.5,11,PIT,HOU,11
14,6,2.5,8,WAS,SF,11
37,31,6.5,6,CLE,PIT,12
20,0,10,20,SF,ATL,12
41,14,3,27,WAS,DAL,12
37,31,6,6,LAA,SD,12
22,19,13,3,NE,BUF,12
12,10,14,2,CHI,GB,12
19,16,3,3,NYG,DEN,12
38,17,3.5,21,DET,TB,12
31,17,7,14,HOU,IND,12
24,20,3.5,4,CIN,MIN,12
14,23,4,-9,KC,PHX,12
26,13,6.5,13,LAN,NO,12
24,20,6,4,SEA,PHA,12
3,45,1.5,-42,NYJ,MIA,12
40,44,6,-4,DET,GB,13
14,31,8,-17,DAL,SEA,13
13,10,7,3,CLE,HOU,13
14,17,6.5,-3,KC,BUF,13
21,20,3,1,NE,NO,13
17,3,6.5,14,SD,IND,13
3,17,2.5,-14,NYJ,LAN,13
45,13,12,32,MIN,TB,13
20,17,7.5,3,WAS,PHX,13
13,10,10.5,3,CHI,PIT,13
14,20,9,-6,MIA,ATL,13
27,33,11,-6,LAA,PHA,13
34,28,7.5,6,DEN,CIN,13
17,21,3.5,-4,SF,NYG,13
24,10,6,14,SF,NYJ,14
27,31,3.5,-4,NO,MIA,14
23,28,11,-5,ATL,IND,14
10,37,5,-27,DEN,KC,14
21,17,3,4,CLE,BUF,14
32,6,3,26,MIN,GB,14
7,31,5,-24,NE,CIN,14
27,17,4.5,10,PIT,DET,14
10,10,4.5,0,PHA,PHX,14
48,14,17,34,CHI,TB,14
14,24,3.5,-10,WAS,NYG,14
27,0,7,27,SD,HOU,14
29,10,5,19,LAN,DAL,14
0,37,2.5,-37,LAA,SEA,14
31,30,3,1,DEN,WAS,15
24,45,6.5,-21,NYJ,PIT,15
29,24,2.5,5,SF,NE,15
31,37,6.5,-6,LAN,MIA,15
14,9,1,5,NO,ATL,15
21,7,3.5,14,GB,TB,15
21,23,6.5,-2,DAL,PHA,15
27,7,10.5,20,NYG,PHX,15
17,20,6.5,-3,LAA,KC,15
24,34,2.5,-10,SD,SEA,15
3,34,3.5,-31,CIN,CLE,15
14,24,4,-10,BUF,IND,15
10,23,7,-13,MIN,HOU,15
16,13,10,3,CHI,DET,15
24,14,5,10,SF,LAN,16
55,24,11.5,31,NYG,GB,16
41,16,3.5,25,SEA,DEN,16
24,10,3,14,CHI,DAL,16
6,20,3,-14,DET,ATL,16
33,17,3,16,MIN,NO,16
21,17,12.5,4,PHX,TB,16
21,14,3,7,WAS,PHA,16
52,21,7,31,CIN,NYJ,16
47,17,6.5,30,CLE,SD,16
16,7,3.5,9,HOU,BUF,16
24,30,9,-6,LAA,IND,16
19,24,2,-5,PIT,KC,16
27,34,3.5,-7,MIA,NE,16
28,3,6,25,NE,NYJ,1
34,7,4,27,CHI,MIA,1
21,14,5.5,7,CIN,PHX,1
6,3,3,3,CLE,KC,1
14,21,4,-7,DEN,SEA,1
31,17,5,14,DET,ATL,1
14,17,3.5,-3,IND,HOU,1
24,13,5.5,11,LAA,SD,1
34,7,3.5,27,LAN,GB,1
10,13,3,-3,MIN,BUF,1
33,34,0,-1,NO,SF,1
41,14,6.5,27,PHA,TB,1
24,21,3,3,PIT,DAL,1
27,20,2,7,NYG,WAS,1
36,6,6.5,30,MIN,NE,2
9,6,3.5,3,BUF,MIA,2
17,13,1.5,4,CHI,IND,2
3,23,9.5,-20,CLE,NYJ,2
34,3,12.5,31,DEN,SD,2
10,13,6.5,-3,GB,TB,2
38,35,3,3,HOU,LAA,2
17,10,10,7,LAN,DET,2
29,21,8.5,8,NO,ATL,2
17,20,2,-3,NYG,SF,2
24,28,5,-4,PHA,CIN,2
31,10,7.5,21,SEA,KC,2
30,29,7.5,1,WAS,PIT,2
14,17,2.5,-3,PHX,DAL,2
14,16,2.5,-2,NE,BUF,3
7,31,3,-24,CHI,MIN,3
13,20,5.5,-7,DEN,KC,3
3,45,1.5,-42,HOU,NYJ,3
17,22,0,-5,LAA,LAN,3
24,17,10,7,MIA,GB,3
22,14,5.5,8,NO,DET,3
12,10,3,2,NYG,DAL,3
30,24,3,6,PHX,TB,3
12,17,2.5,-5,PIT,CIN,3
17,34,14,-17,SF,ATL,3
6,17,8,-11,SEA,SD,3
17,10,5,7,WAS,PHA,3
23,17,2,6,CLE,IND,3
31,6,3.5,25,HOU,NE,4
36,28,4,8,BUF,PIT,4
24,6,6,18,CHI,GB,4
24,17,3.5,7,CIN,CLE,4
26,20,6.5,6,DAL,ATL,4
15,13,2,2,IND,MIA,4
23,24,6.5,-1,KC,SD,4
23,21,6,2,MIN,PHA,4
13,9,13.5,4,NO,TB,4
31,45,3.5,-14,NYG,LAN,4
17,10,1.5,7,NYJ,DET,4
38,7,2,31,SF,SEA,4
21,30,5.5,-9,WAS,PHX,4
27,30,7,-3,DEN,LAA,4
21,17,2,4,NE,IND,5
24,3,4,21,CHI,BUF,5
12,0,4,12,DEN,SD,5
21,45,2,-24,LAA,CIN,5
27,41,7,-14,LAN,PHX,5
7,24,3,-17,MIN,MIA,5
17,17,5.5,0,NYJ,KC,5
32,23,4,9,PHA,HOU,5
9,23,2.5,-14,PIT,CLE,5
20,13,13.5,7,SF,DET,5
31,20,4,11,SEA,ATL,5
27,24,2,3,TB,GB,5
23,24,3.5,-1,WAS,NYG,5
20,17,6.5,3,NO,DAL,5
3,45,2.5,-42,NE,GB,6
34,23,5,11,BUF,IND,6
24,7,7,17,CHI,DET,6
36,19,6,17,CIN,NYJ,6
10,16,3.5,-6,CLE,SEA,6
7,6,5,1,HOU,KC,6
14,24,2,-10,LAA,MIA,6
33,0,6.5,33,LAN,ATL,6
14,13,13,1,MIN,TB,6
23,17,5,6,NO,SD,6
31,14,6,17,PHX,PIT,6
13,16,6,-3,SF,DEN,6
35,17,1.5,18,WAS,DAL,6
24,13,2,11,PHA,NYG,6
21,27,5,-6,CIN,NE,7
17,7,7,10,CHI,DAL,7
19,3,2,16,CLE,PHA,7
30,14,13,16,DEN,ATL,7
35,31,6,4,IND,TB,7
17,27,3.5,-10,KC,LAA,7
21,24,1.5,-3,LAN,SF,7
31,28,9.5,3,MIA,SD,7
14,34,10,-20,MIN,GB,7
30,10,10.5,20,NYG,DET,7
14,34,0,-20,PIT,HOU,7
19,20,2.5,-1,SEA,NO,7
33,17,6.5,16,WAS,PHX,7
14,37,2.5,-23,NYJ,BUF,7
23,20,6,3,BUF,NE,8
44,21,5,23,CIN,HOU,8
21,29,0,-8,PHX,CLE,8
21,39,4,-18,DEN,PIT,8
6,7,6.5,-1,KC,DET,8
31,10,4.5,21,LAN,SEA,8
30,44,4.5,-14,MIA,NYJ,8
49,20,3.5,29,MIN,TB,8
20,6,5,14,NO,LAA,8
23,16,7.5,7,NYG,ATL,8
24,23,5.5,1,PHA,DAL,8
0,16,0,-16,SD,IND,8
20,17,5,3,WAS,GB,8
10,9,2.5,1,CHI,SF,8
7,30,5,-23,CHI,NE,9
24,27,11,-3,PHA,ATL,9
23,16,3,7,CLE,CIN,9
28,0,7,28,BUF,GB,9
10,12,2,-2,NO,LAN,9
17,14,3.5,3,MIA,TB,9
10,16,3,-6,DAL,PHX,9
24,20,5,4,NYJ,PIT,9
13,10,7,3,NYG,DET,9
17,14,8,3,SEA,SD,9
24,21,4,3,SF,MIN,9
17,10,6.5,7,LAA,KC,9
17,41,1,-24,WAS,HOU,9
55,23,0,32,IND,DEN,9
21,10,3,11,NE,MIA,10
29,21,6,8,NYG,DAL,10
44,17,10.5,27,MIN,DET,10
20,0,3,20,ATL,GB,10
24,30,1,-6,LAN,PHA,10
42,7,8,35,CIN,PIT,10
28,10,9.5,18,CHI,TB,10
23,24,3,-1,SF,PHX,10
38,14,4,24,IND,NYJ,10
27,24,4,3,WAS,NO,10
17,11,8,6,DEN,KC,10
13,3,0,10,BUF,SEA,10
13,3,3,10,LAA,SD,10
24,17,0,7,HOU,CLE,10
13,14,2,-1,NYJ,NE,11
14,34,3.5,-20,WAS,CHI,11
28,31,6.5,-3,CIN,KC,11
20,13,4,7,IND,GB,11
27,26,3,1,PHA,PIT,11
7,10,5.5,-3,ATL,SD,11
20,23,2.5,-3,DET,TB,11
3,9,6.5,-6,SF,LAA,11
10,14,3.5,-4,LAN,NO,11
24,17,1,7,PHX,NYG,11
7,30,3,-23,CLE,DEN,11
27,24,1,3,SEA,HOU,11
43,3,3.5,40,MIN,DAL,11
31,6,0,25,BUF,MIA,11
3,6,3,-3,MIA,NE,12
27,15,7,12,CHI,TB,12
38,24,4.5,14,CIN,DAL,12
42,0,5,42,NO,DEN,12
9,19,4,-10,GB,DET,12
12,3,4.5,9,MIN,IND,12
9,6,7,3,BUF,NYJ,12
38,20,5.5,18,HOU,PHX,12
27,7,8.5,20,CLE,PIT,12
24,27,2.5,-3,SEA,KC,12
24,38,11,-14,LAN,SD,12
17,23,3,-6,NYG,PHA,12
6,12,8.5,-6,LAA,ATL,12
37,21,3.5,16,SF,WAS,12
23,0,6.5,23,MIN,DET,13
25,17,5,8,HOU,DAL,13
24,21,3.5,3,IND,NE,13
35,21,3.5,14,CIN,BUF,13
13,17,2,-4,WAS,CLE,13
16,0,13,16,CHI,GB,13
16,10,2,6,PIT,KC,13
38,34,2.5,4,NYJ,MIA,13
31,21,6,10,PHA,PHX,13
17,10,5,7,ATL,TB,13
48,10,6.5,38,SF,SD,13
35,24,0,11,DEN,LAN,13
12,13,5,-1,NO,NYG,13
35,27,3,8,SEA,LAA,13
13,7,5,6,NE,SEA,14
5,10,6,-5,BUF,TB,14
24,21,8,3,CLE,DAL,14
30,14,2,16,DET,GB,14
31,28,1,3,IND,MIA,14
45,3,6,42,MIN,NO,14
44,7,2,37,NYG,PHX,14
27,10,13,17,CIN,SD,14
13,3,4,10,SF,ATL,14
19,20,5,-1,PHA,WAS,14
34,38,1,-4,NYJ,KC,14
21,20,2,1,LAA,DEN,14
34,37,8,-3,HOU,PIT,14
3,23,2,-20,CHI,LAN,14
16,34,3,-18,IND,NYJ,15
17,23,1.5,-6,PHX,PHA,15
10,7,9,3,NE,TB,15
41,6,1.5,35,HOU,CIN,15
17,24,7,-7,WAS,DAL,15
13,12,10,1,CHI,DET,15
28,12,9.5,16,NYG,KC,15
37,21,6.5,16,BUF,LAA,15
6,18,10.5,-12,MIN,GB,15
30,17,6.5,13,SF,NO,15
20,14,1,6,SD,PIT,15
22,7,7.5,15,LAN,ATL,15
42,14,3.5,28,SEA,DEN,15
31,38,5,-7,CLE,MIA,15
21,10,0,11,DEN,NE,16
20,17,7,3,CIN,WAS,16
10,9,7.5,1,NO,ATL,16
14,17,3,-3,BUF,IND,16
21,10,3,11,TB,DET,16
28,23,2,5,CLE,HOU,16
40,24,2,16,PIT,MIA,16
21,27,6,-6,NYG,NYJ,16
23,7,2,16,PHA,DAL,16
37,43,2.5,-6,LAA,SEA,16
24,13,2,11,SD,KC,16
17,26,6.5,-9,PHX,GB,16
16,38,6,-22,SF,LAN,16
28,27,7,1,MIN,CHI,16
27,24,4,3,BUF,MIA,1
17,14,3,3,CHI,CIN,1
51,0,2.5,51,CLE,PIT,1
28,0,5.5,28,NO,DAL,1
38,7,5.5,31,MIN,HOU,1
34,20,6,14,DEN,KC,1
31,21,6,10,LAN,ATL,1
24,27,2.5,-3,NYJ,NE,1
16,13,1.5,3,PHX,DET,1
40,14,3.5,26,LAA,SD,1
30,24,3,6,SF,IND,1
31,7,5.5,24,PHA,SEA,1
21,23,3,-2,GB,TB,1
24,27,4,-3,WAS,NYG,1
27,21,1.5,6,ATL,DAL,2
24,14,11,10,NYG,DET,2
34,27,4,7,HOU,SD,2
31,17,6,14,LAN,IND,2
24,19,2,5,KC,LAA,2
10,24,6,-14,NE,MIA,2
38,7,0,31,CHI,MIN,2
34,35,4.5,-1,NO,GB,2
38,24,7,14,CLE,NYJ,2
37,42,3,-5,WAS,PHA,2
24,34,7,-10,SEA,PHX,2
41,10,10,31,CIN,PIT,2
20,16,7.5,4,SF,TB,2
14,28,6.5,-14,BUF,DEN,2
13,9,7.5,4,IND,ATL,3
41,47,3.5,-6,HOU,BUF,3
47,27,7,20,CHI,DET,3
41,38,10,3,LAN,GB,3
21,6,2.5,15,SD,KC,3
31,21,6.5,10,DEN,LAA,3
14,27,8.5,-13,MIN,PIT,3
10,20,2.5,-10,NO,TB,3
33,40,4,-7,MIA,NYJ,3
35,7,7.5,28,NYG,PHX,3
28,38,1.5,-10,PHA,SF,3
3,24,3.5,-21,NE,SEA,3
30,7,4.5,23,WAS,DAL,3
21,14,4,7,CIN,CLE,3
23,21,7,2,GB,ATL,4
21,17,5,4,CIN,KC,4
16,13,5.5,3,CLE,DEN,4
10,17,3,-7,NYJ,IND,4
12,13,5,-1,SF,LAN,4
39,7,7,32,HOU,MIA,4
31,10,7,21,BUF,NE,4
30,13,7,17,NYG,DAL,4
3,23,2.5,-20,DET,PIT,4
13,24,4,-11,PHX,SD,4
20,24,1,-4,LAA,SEA,4
17,3,8,14,MIN,TB,4
16,14,1.5,2,WAS,NO,4
27,13,3.5,14,CHI,PHA,4
26,14,10.5,12,LAN,ATL,5
14,37,0,-23,BUF,IND,5
35,42,4.5,-7,CHI,TB,5
26,16,4,10,CIN,PIT,5
10,13,3.5,-3,CLE,MIA,5
31,13,7,18,GB,DAL,5
24,17,12,7,MIN,DET,5
13,23,4,-10,HOU,NE,5
16,20,7,-4,SEA,KC,5
24,20,4,4,SF,NO,5
21,19,3,2,PHA,NYG,5
30,28,9.5,2,WAS,PHX,5
16,10,7,6,DEN,SD,5
7,14,3,-7,NYJ,LAA,5
16,17,6,-1,TB,DET,6
26,14,6.5,12,MIN,GB,6
28,33,7,-5,CHI,HOU,6
14,3,5,11,DEN,IND,6
20,14,3,6,LAA,KC,6
13,20,7.5,-7,CIN,MIA,6
16,15,2.5,1,ATL,NE,6
29,14,5.5,15,NO,NYJ,6
17,5,3.5,12,PHA,PHX,6
7,17,9,-10,CLE,PIT,6
31,14,14,17,SF,DAL,6
16,17,0,-1,SD,SEA,6
20,17,3,3,NYG,WAS,6
20,23,3.5,-3,LAN,BUF,6
34,20,2,14,PHX,ATL,7
36,28,9,8,KC,DAL,7
21,24,3,-3,SEA,DEN,7
23,20,3,3,MIA,GB,7
12,23,6.5,-11,CIN,IND,7
10,7,6.5,3,PHA,LAA,7
20,7,7.5,13,MIN,DET,7
37,20,11,17,SF,NE,7
21,40,7,-19,LAN,NO,7
20,13,4,7,NYG,SD,7
34,3,7,31,BUF,NYJ,7
27,0,10,27,HOU,PIT,7
32,28,8,4,WAS,TB,7
27,7,1,20,CLE,CHI,7
20,13,7,7,NO,ATL,8
23,20,6.5,3,GB,DET,8
28,17,2.5,11,CLE,HOU,8
23,17,2,6,PIT,KC,8
20,10,2.5,10,CHI,LAN,8
31,17,4,14,BUF,MIA,8
20,23,6,-3,IND,NE,8
24,28,3,-4,DEN,PHA,8
19,10,4,9,PHX,DAL,8
10,7,6,3,SEA,SD,8
23,10,8.5,13,SF,NYJ,8
56,23,6.5,33,CIN,TB,8
24,37,2,-13,WAS,LAA,8
24,14,2,10,NYG,MIN,8
28,30,3,-2,BUF,ATL,9
13,14,3,-1,CHI,GB,9
7,28,1.5,-21,CIN,LAA,9
42,31,3,11,CLE,TB,9
35,31,10,4,HOU,DET,9
19,13,3,6,MIA,IND,9
23,21,4.5,2,MIN,LAN,9
20,13,3,7,NYG,PHX,9
26,27,7.5,-1,NE,NYJ,9
17,20,4,-3,PHA,SD,9
34,7,7.5,27,DEN,PIT,9
20,10,2.5,10,KC,SEA,9
3,13,14,-10,WAS,DAL,9
31,13,6,18,SF,NO,9
45,3,10.5,42,SF,ATL,10
20,0,3.5,20,CHI,PIT,10
17,7,2.5,10,CLE,SEA,10
24,20,7,4,PHX,DAL,10
13,16,0,-3,KC,DEN,10
22,31,1.5,-9,GB,DET,10
30,7,6.5,23,BUF,IND,10
31,23,3,8,MIA,NYJ,10
24,10,5.5,14,MIN,TB,10
28,24,2.5,4,NO,NE,10
31,10,2.5,21,LAN,NYG,10
3,10,5,-7,PHA,WAS,10
12,14,2.5,-2,LAA,SD,10
26,24,6,2,HOU,CIN,10
24,33,6,-9,BUF,NE,11
42,7,7,35,CIN,DET,11
17,21,10,-4,SF,GB,11
10,10,7,0,CLE,KC,11
23,7,5,16,HOU,LAA,11
17,14,6.5,3,MIA,DAL,11
9,10,1,-1,MIN,PHA,11
26,17,3,9,NO,ATL,11
37,14,10.5,23,LAN,PHX,11
20,17,2.5,3,PIT,SD,11
15,3,9,12,NYG,SEA,11
31,32,10,-1,CHI,TB,11
27,10,6,17,IND,NYJ,11
10,14,2.5,-4,WAS,DEN,11
10,13,6,-3,CLE,DET,12
27,0,6,27,PHA,DAL,12
27,7,2,20,NYJ,ATL,12
14,38,0,-24,CHI,WAS,12
24,7,3,17,BUF,CIN,12
0,34,1.5,-34,HOU,KC,12
